company,client,method,from,to,sample_size,con,lab,ld,ukip,grn,bnp,respect,independent,other,pdf
Panelbase,,Online,2017-05-26,2017-06-01,92.0,0.51,0.39,0.06,0.03,0.02,,,,0.0,http://www.panelbase.com/media/polls/W10470w6tablesforpublication010617.pdf
Ipsos MORI Phone,Evening Standard,Phone,2017-05-30,2017-06-01,112.0,0.5,0.38,0.09,0.0,0.02,0.0,,,0.01,https://www.ipsos.com/sites/default/files/2017-06/pm-june-tables.pdf
ORB Online,Telegraph,Online,2017-05-31,2017-06-01,172.0,0.36,0.48,0.07,0.05,,,,0.0,0.04,https://www.orb-international.com/perch/resources/orbtelegraph-jun-2-1.pdf
YouGov,Times,Online,2017-06-01,2017-06-02,239.0,0.34,0.48,0.15,0.03,0.01,0.0,,,0.0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/f3ruqo8k0q/SundayTimesResults_170602_VI_W.pdf
Survation,Mail on Sunday,Phone,2017-06-03,2017-06-03,111.0,0.379,0.462,0.095,0.027999999999999997,,,,,0.037000000000000005,http://survation.com/wp-content/uploads/2017/06/Final-MoS-Post-BBC-Event-Poll-020617SWCH-1c0d4h9.pdf
Survation,Good Morning Britain,Phone,2017-06-02,2017-06-03,136.0,0.39299999999999996,0.503,0.066,0.0,0.015,,,,0.023,http://survation.com/wp-content/uploads/2017/06/Final-GMB-GE2017-V-Tables-020617TOCH-1c1d0h3-microage.pdf
ComRes Online,Independent On Sunday / Sunday Mirror,Online,2017-06-05,2017-06-07,226.0,0.42,0.41,0.11,0.04,0.03,0.0,,,0.0,http://www.comresglobal.com/wp-content/uploads/2017/06/Independent_FINAL-VI-and-Political-Poll_7th-June-2017_130392.pdf
Panelbase,,Online,2017-06-02,2017-06-07,389.0,0.38,0.44,0.1,0.02,0.04,,,,0.0,http://www.panelbase.com/media/polls/W10470w7tablesforpublication.pdf
YouGov,Times,Online,2017-06-05,2017-06-07,256.0,0.37,0.41,0.12,0.07,0.03,,,,0.0,https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/d8zsb99eyd/TimesResults_FINAL%20CALL_GB_June2017_W.pdf
Survation,,Online,2017-06-06,2017-06-07,174.0,0.396,0.485,0.081,0.018000000000000002,0.02,,,,0.0,http://survation.com/wp-content/uploads/2017/06/Survation-GE2017-Final-Poll-2d7l9l8.pdf
BMG,Herald,Online,2017-06-06,2017-06-07,106.0,0.48,0.24,0.15,0.07,0.07,,,,0.0,http://www.bmgresearch.co.uk/wp-content/uploads/2017/06/CONFIDENTIAL-BMG-HERALD-POLL-FINAL-GE2017-070617.xlsx
Ipsos MORI Phone,Evening Standard,Phone,2017-06-06,2017-06-07,134.0,0.41,0.46,0.1,0.01,0.01,,,,0.0,https://www.ipsos.com/sites/default/files/2017-06/pm-election-2017-final-tables.pdf
